text,label
why doesn't an optical mouse work on a glass table?,Computers & Internet
What is the best off-road motorcycle trail ?,Sports
What is Trans Fat? How to reduce that?,Health
How many planes Fedex has?,Business & Finance
"In the san francisco bay area, does it make sense to rent or buy ?",Business & Finance
What's the best way to clean a keyboard?,Computers & Internet
Why do people blush when they are embarrassed?,Science & Mathematics
"Is Lin Qingxia (aka Brigitte Lin) ""the most beautiful woman in Chinese cinema?""",Entertainment & Music
"What is the origin of ""foobar""?",Computers & Internet
How the human species evolved?,Science & Mathematics
Who said the statement below and what does it mean?,Education & Reference
How do I find an out of print book?,Education & Reference
What are some tips on finding a good mortgage broker?,Business & Finance
what's the best way to create a bootable windos/dos CD?,Computers & Internet
what is the reason for the increasing divorce percentage in the western world?,Family & Relationships
"What is an ""imaginary number""?",Science & Mathematics
Faxing a pizza,Science & Mathematics
What are good sources to find out about new gospel artists?,Entertainment & Music
space missions,Science & Mathematics
How a black hole is formed?,Science & Mathematics
Heavy water,Science & Mathematics
When will Her Majesty be released in Dvd format?,Entertainment & Music
Is a transponder required to fly in class C airspace?,Science & Mathematics
How to get rid of a beehive?,Education & Reference
Nice apartment building near SBC Park?,Business & Finance
What are world's 3 smallest nations?,Science & Mathematics
What is the best riddle that you know?,Business & Finance
Economics of running a restaurant?,Business & Finance
Why do gas stations mix ethanol into gas?,Science & Mathematics
Why we are not using the sea waves to generate electricity?,Science & Mathematics
Why doesn't the NBA implement a minor leagues?,Sports
What's the longest english word without a vowel in it?,Education & Reference
Formula1 car,Sports
how was Einstein's General Relativity theory proven ?,Science & Mathematics
Can someone tell me what happened in Buffy's series finale?,Entertainment & Music
How does a person live his whole life with the notion of impending death,Science & Mathematics
how does a helicopter fly,Science & Mathematics
Why would Big Ten keep its name inspite of adding a 11th school?,Education & Reference
How effective is massage in relieving stress?,Health
Is there a good reference for California Landlord-Tenant Law?,Politics & Government
Triangular distribution random function,Computers & Internet
Capturing light in a container,Science & Mathematics
When will Google buy Yahoo?,Business & Finance
Do animals have feelings?,Science & Mathematics
Is Trigonometry considered high school or college level math?,Education & Reference
Why is there often a mirror in an elevator?,Business & Finance
Can someone explain the theory of e=mc2?,Science & Mathematics
"Why can Bush get away with misinforming us about intelligence, then use that as reason for war?",Politics & Government
